Labels	bcor-agg-78k	
Type	Emission Scan	
Comment		
Start	490.00	
Stop	850.00	
Step	1.00	
Fixed/Offset	475.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	True	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	False	
Repeats	1	
Dwell Time	0.20	
Lamp	Xe	
Temp	0.00	
Scan Polariser	None	
Scan Slit	0.9990	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	5.001750	
Detector	Red PMT	

490.00	8.89016418E+2	
491.00	9.06906433E+2	
492.00	9.71924744E+2	
493.00	9.66679016E+2	
494.00	1.04656323E+3	
495.00	1.05528345E+3	
496.00	1.11329504E+3	
497.00	1.12488196E+3	
498.00	1.14826978E+3	
499.00	1.14932080E+3	
500.00	1.20269226E+3	
501.00	1.20061560E+3	
502.00	1.18768494E+3	
503.00	1.21163989E+3	
504.00	1.23429626E+3	
505.00	1.17584900E+3	
506.00	1.19505994E+3	
507.00	1.26341541E+3	
508.00	1.22368384E+3	
509.00	1.17929968E+3	
510.00	1.23413501E+3	
511.00	1.18312683E+3	
512.00	1.19424768E+3	
513.00	1.23199487E+3	
514.00	1.24193091E+3	
515.00	1.21417322E+3	
516.00	1.14658374E+3	
517.00	1.16069788E+3	
518.00	1.24016882E+3	
519.00	1.18127295E+3	
520.00	1.17054810E+3	
521.00	1.17150671E+3	
522.00	1.15932507E+3	
523.00	1.21068127E+3	
524.00	1.22862988E+3	
525.00	1.21462158E+3	
526.00	1.19407275E+3	
527.00	1.17601929E+3	
528.00	1.17457068E+3	
529.00	1.17366821E+3	
530.00	1.17817993E+3	
531.00	1.17214417E+3	
532.00	1.18664429E+3	
533.00	1.15366968E+3	
534.00	1.15958203E+3	
535.00	1.14503357E+3	
536.00	1.13127466E+3	
537.00	1.08219849E+3	
538.00	1.11050208E+3	
539.00	1.12652954E+3	
540.00	1.08840356E+3	
541.00	1.04606946E+3	
542.00	1.08915833E+3	
543.00	1.04855017E+3	
544.00	1.05665540E+3	
545.00	1.05427319E+3	
546.00	9.89010071E+2	
547.00	1.01093762E+3	
548.00	9.81627625E+2	
549.00	1.00941272E+3	
550.00	9.46915100E+2	
551.00	1.02257965E+3	
552.00	1.05700415E+3	
553.00	1.10184399E+3	
554.00	1.10211133E+3	
555.00	1.12976538E+3	
556.00	1.16224451E+3	
557.00	1.07584229E+3	
558.00	1.10669653E+3	
559.00	1.06415491E+3	
560.00	1.06403027E+3	
561.00	9.97151184E+2	
562.00	1.01694757E+3	
563.00	9.42827393E+2	
564.00	9.11936584E+2	
565.00	8.70780029E+2	
566.00	8.98592468E+2	
567.00	7.98305725E+2	
568.00	7.80099976E+2	
569.00	7.19242310E+2	
570.00	7.13173035E+2	
571.00	6.80557800E+2	
572.00	7.32655884E+2	
573.00	6.75151733E+2	
574.00	6.78556580E+2	
575.00	6.97349304E+2	
576.00	6.61289490E+2	
577.00	6.24226135E+2	
578.00	6.46335999E+2	
579.00	5.87371277E+2	
580.00	5.95762268E+2	
581.00	6.42057861E+2	
582.00	5.84610168E+2	
583.00	5.83101868E+2	
584.00	5.67698486E+2	
585.00	5.62328247E+2	
586.00	5.79451904E+2	
587.00	5.29527039E+2	
588.00	5.30796814E+2	
589.00	4.94856171E+2	
590.00	5.30215759E+2	
591.00	5.11817841E+2	
592.00	4.89155365E+2	
593.00	4.47539703E+2	
594.00	4.45393005E+2	
595.00	4.60870422E+2	
596.00	4.86696167E+2	
597.00	4.42483429E+2	
598.00	4.54351837E+2	
599.00	4.25720490E+2	
600.00	4.71710175E+2	
601.00	4.65494781E+2	
602.00	4.18145508E+2	
603.00	4.11513733E+2	
604.00	4.21535217E+2	
605.00	4.00494324E+2	
606.00	3.95054749E+2	
607.00	3.77350830E+2	
608.00	4.23509644E+2	
609.00	3.99366608E+2	
610.00	3.85894409E+2	
611.00	3.65738281E+2	
612.00	3.92048187E+2	
613.00	3.50300995E+2	
614.00	3.66486603E+2	
615.00	3.47834839E+2	
616.00	3.71345581E+2	
617.00	3.74027924E+2	
618.00	3.31503357E+2	
619.00	3.31429901E+2	
620.00	3.53597107E+2	
621.00	3.45928528E+2	
622.00	3.47187195E+2	
623.00	3.95952515E+2	
624.00	3.32184357E+2	
625.00	3.50894073E+2	
626.00	2.97324341E+2	
627.00	3.55268219E+2	
628.00	2.93149109E+2	
629.00	3.21045532E+2	
630.00	2.72757324E+2	
631.00	3.26069550E+2	
632.00	3.30171387E+2	
633.00	3.17712891E+2	
634.00	3.14285797E+2	
635.00	3.37814606E+2	
636.00	3.25637299E+2	
637.00	2.99467804E+2	
638.00	3.53689911E+2	
639.00	4.03985168E+2	
640.00	4.00365662E+2	
641.00	5.20001282E+2	
642.00	5.15965088E+2	
643.00	6.17524231E+2	
644.00	6.48454773E+2	
645.00	8.09183411E+2	
646.00	8.71954407E+2	
647.00	9.51545288E+2	
648.00	1.06438647E+3	
649.00	1.16734143E+3	
650.00	1.18317590E+3	
651.00	1.42452881E+3	
652.00	1.47498315E+3	
653.00	1.55273035E+3	
654.00	1.66033301E+3	
655.00	1.68504675E+3	
656.00	1.78838184E+3	
657.00	1.64984570E+3	
658.00	1.73883350E+3	
659.00	1.99728735E+3	
660.00	1.85330750E+3	
661.00	1.97030945E+3	
662.00	2.07718628E+3	
663.00	2.33443774E+3	
664.00	2.70772290E+3	
665.00	3.22171680E+3	
666.00	4.42277637E+3	
667.00	5.72517871E+3	
668.00	8.34994141E+3	
669.00	1.23929521E+4	
670.00	1.69852266E+4	
671.00	2.38581855E+4	
672.00	3.32786055E+4	
673.00	4.94820547E+4	
674.00	7.60006250E+4	
675.00	1.13913297E+5	
676.00	1.53515203E+5	
677.00	1.89313609E+5	
678.00	2.10429813E+5	
679.00	2.19731172E+5	
680.00	2.13476125E+5	
681.00	2.04008156E+5	
682.00	1.92294688E+5	
683.00	1.80463813E+5	
684.00	1.72178563E+5	
685.00	1.68311109E+5	
686.00	1.63273781E+5	
687.00	1.59819609E+5	
688.00	1.57262797E+5	
689.00	1.54284156E+5	
690.00	1.52763141E+5	
691.00	1.49795688E+5	
692.00	1.46359547E+5	
693.00	1.41581063E+5	
694.00	1.37588469E+5	
695.00	1.33139375E+5	
696.00	1.28631414E+5	
697.00	1.24618781E+5	
698.00	1.18160148E+5	
699.00	1.13423891E+5	
700.00	1.08756969E+5	
701.00	1.02862688E+5	
702.00	9.77414766E+4	
703.00	9.59463516E+4	
704.00	9.18282422E+4	
705.00	8.75502422E+4	
706.00	8.41016953E+4	
707.00	7.96838906E+4	
708.00	7.61182031E+4	
709.00	7.52687734E+4	
710.00	7.04427891E+4	
711.00	6.86740938E+4	
712.00	6.83936406E+4	
713.00	6.49655977E+4	
714.00	6.03018828E+4	
715.00	5.91065586E+4	
716.00	5.59047031E+4	
717.00	5.45045195E+4	
718.00	5.22321172E+4	
719.00	5.01943984E+4	
720.00	4.83605078E+4	
721.00	4.74556641E+4	
722.00	4.59846172E+4	
723.00	4.54612813E+4	
724.00	4.44954453E+4	
725.00	4.23854727E+4	
726.00	4.09668320E+4	
727.00	4.12237578E+4	
728.00	4.02013125E+4	
729.00	4.07287070E+4	
730.00	3.86602227E+4	
731.00	3.90147773E+4	
732.00	3.88770391E+4	
733.00	3.85888320E+4	
734.00	3.97035352E+4	
735.00	3.80885469E+4	
736.00	3.95199219E+4	
737.00	4.00165469E+4	
738.00	3.96206875E+4	
739.00	3.98010703E+4	
740.00	3.90590273E+4	
741.00	3.85069805E+4	
742.00	3.73399961E+4	
743.00	3.69893516E+4	
744.00	3.67145625E+4	
745.00	3.70857813E+4	
746.00	3.71191719E+4	
747.00	3.64614375E+4	
748.00	3.27937695E+4	
749.00	3.40247539E+4	
750.00	3.50410039E+4	
751.00	3.49795195E+4	
752.00	3.42203672E+4	
753.00	3.40571133E+4	
754.00	3.16420137E+4	
755.00	3.30389219E+4	
756.00	3.18332266E+4	
757.00	3.25572051E+4	
758.00	3.23510898E+4	
759.00	3.01592773E+4	
760.00	2.99396797E+4	
761.00	2.85341602E+4	
762.00	2.78665820E+4	
763.00	2.73325605E+4	
764.00	2.59831582E+4	
765.00	2.59371523E+4	
766.00	2.65397910E+4	
767.00	2.38149688E+4	
768.00	2.30531172E+4	
769.00	2.30088652E+4	
770.00	2.25077422E+4	
771.00	2.18313789E+4	
772.00	2.14512773E+4	
773.00	2.09504980E+4	
774.00	2.11668477E+4	
775.00	1.92250273E+4	
776.00	1.91523223E+4	
777.00	1.92242637E+4	
778.00	1.82400137E+4	
779.00	1.77300469E+4	
780.00	1.82181211E+4	
781.00	1.71838750E+4	
782.00	1.55163955E+4	
783.00	1.47751865E+4	
784.00	1.58501162E+4	
785.00	1.40222637E+4	
786.00	1.37752480E+4	
787.00	1.35582949E+4	
788.00	1.40339814E+4	
789.00	1.27815098E+4	
790.00	1.22186338E+4	
791.00	1.18171514E+4	
792.00	1.06025762E+4	
793.00	1.29136357E+4	
794.00	1.10303076E+4	
795.00	1.04692305E+4	
796.00	9.74397266E+3	
797.00	1.15318574E+4	
798.00	1.04278232E+4	
799.00	1.12108047E+4	
800.00	1.04513857E+4	
801.00	1.02924902E+4	
802.00	1.06735107E+4	
803.00	9.77937695E+3	
804.00	1.01030176E+4	
805.00	9.98371484E+3	
806.00	8.75094141E+3	
807.00	7.95524561E+3	
808.00	8.07588086E+3	
809.00	7.44256006E+3	
810.00	7.88574609E+3	
811.00	7.43218311E+3	
812.00	6.62918115E+3	
813.00	9.18179102E+3	
814.00	7.73887207E+3	
815.00	7.64550977E+3	
816.00	7.48497168E+3	
817.00	8.36413672E+3	
818.00	8.16067773E+3	
819.00	7.27209277E+3	
820.00	7.59153125E+3	
821.00	8.78756836E+3	
822.00	9.08948730E+3	
823.00	7.09092188E+3	
824.00	5.95440332E+3	
825.00	6.23029639E+3	
826.00	6.87528418E+3	
827.00	5.10765820E+3	
828.00	5.15879443E+3	
829.00	6.79948730E+3	
830.00	7.88013965E+3	
831.00	6.40545313E+3	
832.00	8.93027148E+3	
833.00	5.41523682E+3	
834.00	9.39016113E+3	
835.00	8.60097070E+3	
836.00	7.33048535E+3	
837.00	1.00438828E+4	
838.00	1.01530586E+4	
839.00	1.31375215E+4	
840.00	6.86318604E+3	
841.00	8.79010547E+3	
842.00	9.35037891E+3	
843.00	1.01906865E+4	
844.00	1.84773457E+4	
845.00	1.25627637E+4	
846.00	1.21253145E+4	
847.00	1.87321191E+4	
848.00	1.06259395E+4	
849.00	1.42835283E+4	
850.00	2.32858105E+4	
